#企业id，企业名称，企业行政区划，企业类型
"10000000000000000000000000000001","彭高镇吉祥爆竹厂","彭高镇","花炮生产"
"10000000000000000000000000000002","彭高镇如意引线有限公司","彭高镇","原材料运输"
"10000000000000000000000000000003","赤山镇天花黑火药有限责任公司","赤山镇","原材料运输"
"10000000000000000000000000000004","福田镇如意黑火药公司","福田镇","原材料运输"
"10000000000000000000000000000005","金山镇如意烟花有限公司","金山镇","花炮生产"
"10000000000000000000000000000006","桐木镇如意黑火药厂","桐木镇","原材料运输"
"10000000000000000000000000000007","长平乡如意商贸有限公司","长平乡","原材料运输"
"10000000000000000000000000000008","上栗镇天花烟花公司","上栗镇","花炮生产"
"10000000000000000000000000000009","杨岐乡富祥爆竹有限责任公司","杨岐乡","花炮生产"
"10000000000000000000000000000010","东源乡吉祥商贸有限公司","东源乡","原材料运输"
"10000000000000000000000000000011","鸡冠山乡如意爆竹有限责任公司","鸡冠山乡","原材料运输"
"10000000000000000000000000000012","东源乡大地引线厂","东源乡","原材料运输"
"10000000000000000000000000000013","长平乡大地烟花有限公司","长平乡","原材料运输"
"10000000000000000000000000000014","上栗镇大地鞭炮公司","上栗镇","原材料运输"
"10000000000000000000000000000015","福田镇大地运输有限公司","福田镇","花炮生产"
"10000000000000000000000000000016","杨岐乡天花运输公司","杨岐乡","原材料运输"
"10000000000000000000000000000017","彭高镇富祥商贸有限责任公司","彭高镇","原材料运输"
"10000000000000000000000000000018","鸡冠山乡天花烟花有限公司","鸡冠山乡","原材料生产"
"10000000000000000000000000000019","长平乡富祥爆竹厂","长平乡","花炮生产"
"10000000000000000000000000000020","杨岐乡富祥爆竹有限公司","杨岐乡","原材料生产"
"10000000000000000000000000000021","上栗镇大地爆竹有限公司","上栗镇","花炮生产"
"10000000000000000000000000000022","彭高镇富祥鞭炮有限责任公司","彭高镇","原材料生产"
"10000000000000000000000000000023","赤山镇天花花炮公司","赤山镇","原材料运输"
